date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:28	241/241	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Mar%202016%2015:42:30%20GMT	http://www.indungi.ro/TeamSpeak3	C:/Siturile%20Mele/TeamSpeak/www.indungi.ro/TeamSpeak3.0.delayed	(from )
17:56:29	9928/9928	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Mar%202016%2015:42:30%20GMT	http://www.indungi.ro/TeamSpeak3/	C:/Siturile%20Mele/TeamSpeak/www.indungi.ro/TeamSpeak3/index.html	(from )
17:56:29	12048/12048	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Mar%202016%2015:42:31%20GMT	http://www.indungi.ro/robots.txt		(from )
17:56:29	102897/102897	---M--	200	added ('OK')	text/css	etag:%22191f1-5107abc5fc200%22	http://www.indungi.ro/TeamSpeak3/css/bootstrap.min.css	C:/Siturile%20Mele/TeamSpeak/www.indungi.ro/TeamSpeak3/css/bootstrap.min.css	(from http://www.indungi.ro/TeamSpeak3/)
17:56:29	11672/11672	---M--	200	added ('OK')	text/css	etag:%222d98-5107abc5fc200%22	http://www.indungi.ro/TeamSpeak3/css/animation.css	C:/Siturile%20Mele/TeamSpeak/www.indungi.ro/TeamSpeak3/css/animation.css	(from http://www.indungi.ro/TeamSpeak3/)
17:56:30	44782/44782	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Mar%202016%2015:42:31%20GMT	http://www.indungi.ro/TeamSpeak3/css/checkbox/orange.css	C:/Siturile%20Mele/TeamSpeak/www.indungi.ro/TeamSpeak3/css/checkbox/orange.css	(from http://www.indungi.ro/TeamSpeak3/)
17:56:30	3087/3087	---M--	200	added ('OK')	text/css	etag:%22c0f-5107abc5fc200%22	http://www.indungi.ro/TeamSpeak3/css/preview.css	C:/Siturile%20Mele/TeamSpeak/www.indungi.ro/TeamSpeak3/css/preview.css	(from http://www.indungi.ro/TeamSpeak3/)
17:56:31	19002/19002	---M--	200	added ('OK')	text/css	etag:%224a3a-5107abc5fc200%22	http://www.indungi.ro/TeamSpeak3/css/authenty.css	C:/Siturile%20Mele/TeamSpeak/www.indungi.ro/TeamSpeak3/css/authenty.css	(from http://www.indungi.ro/TeamSpeak3/)
17:56:31	21658/21658	---MCZ	200	added ('OK')	text/css	etag:W/%221f9e9d1a5a1d347d945ef4b7727f2ea0%22	http://netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	C:/Siturile%20Mele/TeamSpeak/netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	(from http://www.indungi.ro/TeamSpeak3/)
17:56:33	4065/4065	---M--	200	added ('OK')	application/javascript	etag:%22fe1-52380d8f0d080%22	http://www.indungi.ro/TeamSpeak3/js/jquery.icheck.min.js	C:/Siturile%20Mele/TeamSpeak/www.indungi.ro/TeamSpeak3/js/jquery.icheck.min.js	(from http://www.indungi.ro/TeamSpeak3/)
